fragment,counter
[*]C(=O)[C@@H]1CCC(=O)N1,9
[*]C(=O)[C@H](CCCN=C(N)N)N[*],5
[*]C(=O)[C@H](CC(C)C)N[*],61
[*]C(=O)[C@H](CO)N[*],39
[*]OC(C)(C)C,40
[*]C(=O)[C@@H](C[*])N[*],4
[*]C(C)(C)C,84
[*]C(=O)[C@@H](CO[*])N[*],2
[*]N1CCC[C@H]1[*],41
[*]C(=O)NNC(N)=O,1
[*]C(=O)[C@H](C[*])N[*],86
[*]C1:C:C:C(O):C:C:1,233
[*]C1:C:N:C:[NH]:1,44
[*]C1:C:[NH]:C2:C:C:C:C:C:1:2,108
[*]NCC(N)=O,20
[*]C(=O)[C@@H]1CCCN1[*],96
[*]NC(=N)N,132
[*]C(=O)[C@H](CCC[*])N[*],41
[*]CC(N)=O,49
[*]CCC(N)=O,23
[*]CC1:C:C:C(O):C:C:1,28
[*]CC1:C:C:C:C:C:1,113
[*]C1:C:C:C:C:C:1,1355
[*]C(=O)[C@@H]1CSSCCC(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N1,2
[*]C(=O)[C@@H]1CSSCCC(=O)N[C@@H](C[*])C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N1,2
[*]C(=O)[C@@H]1CSSCCC(=O)N[C@@H]([*])C(=O)N[C@@H](C[*])C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N1,1
[*]C(=O)[C@@H]1CSSCCC(=O)N[C@@H](C[*])C(=O)N[C@@H](C[*])C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N1,1
[*][C@H](O)[C@H](C)C/C=C/C,5
[*]CC(C)C,46
[*]C(C)C,172
[*][C@@H]1NC(=O)[C@H]([*])N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([*])N(C)C(=O)[C@H]([*])N(C)C(=O)[C@H]([*])N(C)C(=O)[C@H]([*])N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H]([*])N(C)C1=O,2
[*]N[C@H](CO)[C@@H](C)O,4
[*]C(=O)[C@H](N)C[*],16
[*]CC1:C:[NH]:C2:C:C:C:C:C:1:2,29
[*][C@@H](C)O,48
[*]CCCCN,26
[*]C(=O)[C@@H]1CSSC[C@H](N[*])C(=O)N[C@@H]([*])C(=O)N[C@H]([*])C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N1,6
[*]C(=O)[C@@H]1CSSC[C@H](N[*])C(=O)N[C@@H]([*])C(=O)N[C@H](C[*])C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N1,6
[*]C(=O)[C@@H]1CSSC[C@H](N[*])C(=O)N[C@@H](C[*])C(=O)N[C@H]([*])C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N1,6
[*]C(=O)[C@@H]1CSSC[C@H](N[*])C(=O)N[C@@H](C[*])C(=O)N[C@H](C[*])C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N1,6
[*]OP(=O)(O)O,338
[*]CC1:C:N:C(C):C(O):C:1C=O,2
